criticID,googleID,stars,link,publisher,name
pekkaEronen,1,4,Aamulehti 6.3.2020,Aamulehti,Pekka Eronen
päiviValotie,1,3,Turun Sanomat 6.3.2020,Turun Sanomat,Päivi Valotie
kristerUggedal,1,3,Hufvudstadsbladet 6.3.2020,Hufvudstadsbladet,Krister Uggeldahl
riittaLehtimäki,1,4,Eeva 3/2020,Eeva,Riitta Lehtimäki
jussiHuhtala,1,3,https://www.episodi.fi/elokuvat/elamaa-kuoleman-jalkeen/,Episodi,Jussi Huhtala
anttiSelkokari,1,4,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/klaus-haron-hienovireinen-ja-kaunis-elamaa-kuoleman-jalkeen-elokuva-yltaa-tekijansa-parhaimmistoon/,Kulttuuritoimitus.fi,Antti Selkokari
hannuBjörkbacka,1,3,Keskipohjanmaa 7.3.2020,Keskipohjanmaa,Hannu Björkbacka
kaisuTervonen,1,3,Suomen Kuvalehti 10/2020,Suomen Kuvalehti,Kaisu Tervonen
nikoIkonen,1,3,Episodi 2/2021,Episodi,Niko Ikonen
hannuLiekso,1,3,Episodi 2/2021,Episodi,Hannu Liekso
jesseRaatikainen,1,3,Episodi 2/2021,Episodi,Jesse Raatikainen
jouniVikman,1,3,Episodi 2/2021,Episodi,Jouni Vikman
janneKaakko,2,4,Aamulehti 6.3.2020,Aamulehti,Janne Kaakko
päiviValotie,2,3,Turun Sanomat 6.3.2020,Turun Sanomat,Päivi Valotie
jouniVikman,2,3,https://www.episodi.fi/elokuvat/emma/,Episodi,Jouni Vikman
nikoIkonen,2,3,Episodi 4/2020,Episodi,Niko Ikonen
hannuLiekso,2,3,Episodi 4/2020,Episodi,Hannu Liekso
jouniVikman,2,3,Episodi 4/2020,Episodi,Jouni Vikman
leenaVirtanen,3,3,Helsingin Sanomat 7.2.2020,Helsingin Sanomat,Leena Virtanen
pekkaEronen,3,2,Aamulehti 7.2.2020,Aamulehti,Pekka Eronen
päiviValotie,3,3,Turun Sanomat 7.2.2020,Turun Sanomat,Päivi Valotie
jussiVirratvuori,3,3,Etelä-Suomen Sanomat 7.2.2020,Etelä-Suomen Sanomat,Jussi Virratvuori
saraEH,3,3,Hufvudstadsbladet 7.2.2020,Hufvudstadsbladet,Sara Ehnholm Hielm
jesseRaatikainen,3,4,https://www.episodi.fi/elokuvat/bombshell-hiljaisuuden-rikkojat/,Episodi,Jesse Raatikainen
kaarinaLehtisalo,3,3,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/bombshell-kertaa-fox-kanavan-vuoden-2016-ahdisteluskandaalin-vaiheet-roger-ailesin-roolissa-john-lithgow/,Kulttuuritoimitus.fi,Kaarina Lehtisalo
marttaKaukonen,3,4,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/mita-fox-uutiskanavalla-tapahtui-vuosi-ennen-metoota,Me Naiset,Martta Kaukonen
nikoikonen,3,3,Episodi 1/2020,Episodi,Niko Ikonen
martaBalaga,3,3,Episodi 2/2020,Episodi,Marta Balaga
hannuLiekso,3,3,Episodi 2/2020,Episodi,Hannu Liekso
mariaLättilä,3,3,Episodi 2/2020,Episodi,Maria Lättilä
jouniVikman,3,4,Episodi 2/2020,Episodi,Jouni Vikman
juhoTyppo,4,2,Helsingin Sanomat 7.2.2020,Helsingin Sanomat,Juho Typpö
kariSalminen,4,2,Turun Sanomat 7.2.2020,Turun Sanomat,Kari Salminen
martinaMolisMelberg,4,3,Hufvudstadsbladet 7.2.2020,Hufvudstadsbladet,Martina Moliis-Mellberg
jouniVikman,4,3,https://www.episodi.fi/elokuvat/birds-of-prey/,Episodi,Jouni Vikman
riikkaOksanen,4,3.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/supersankariviihdetta-vahaisilla-supervoimilla-ja-rikollisilla-sankareilla-arvostelussa-birds-of-prey/,Kulttuuritoimitus.fi,Riikka Oksanen
helinäLaajalahti,4,3.5,https://muropaketti.com/elokuvat/arvostelu-birds-of-prey-on-ravakka-supersankarielokuva-jossa-on-kaikuja-tank-girlista-deadpoolista-ja-john-wickista/,Muropaketti,Helinä Laajalahti
martaBalaga,4,2,Episodi 4/2020,Episodi,Marta Balaga
nikoIkonen,4,3,Episodi 4/2020,Episodi,Niko Ikonen
hannuLiekso,4,2,Episodi 4/2020,Episodi,Hannu Liekso
mariaLättilä,4,3,Episodi 4/2020,Episodi,Maria Lättilä
avola,5,4,Helsingin Sanomat 7.2.2020,Helsingin Sanomat,Pertti Avola
hwRehnstöm,5,4,Turun Sanomat 7.2.2020,Turun Sanomat,Henri Waltter Rehnström
jarnoLindemark,5,4,Etelä-Suomen Sanomat 7.2.2020,Etelä-Suomen Sanomat,Jarno Lindemark
kristerUggedal,5,2,Hufvudstadsbladet 7.2.2020,Hufvudstadsbladet,Krister Uggeldahl
martaBalaga,5,4,https://www.episodi.fi/elokuvat/a-hidden-life/,Episodi,Marta Balaga
anttiSelkokari,5,3.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/a-hidden-life-tositarina-hitleria-uhmanneesta-maanviljelijasta-yltaa-terrence-malickin-parhaimmistoon/,Kulttuuritoimitus.fi,Antti Selkokari
marttaKaukonen,5,3,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/terrence-malick-tekee-sen-taas-ohjaajan-uutuus-hidden-life,Me Naiset,Martta Kaukonen
akiLehti,5,4.5,https://muropaketti.com/elokuvat/arvostelu-terence-malickin-mestarillinen-a-hidden-life-on-tuleva-klassikko/,Muropaketti,Aki Lehti
